[Info] Package delay time: 65, in transmitter: 5
[Info] Package delay time: 1115, in transmitter: 3
[Info] Package delay time: 105, in transmitter: 3
[Info] Package delay time: 1690, in transmitter: 7
[Info] Package delay time: 3175, in transmitter: 3
[Info] Package delay time: 2935, in transmitter: 7
[Info] Package delay time: 230, in transmitter: 7
[Info] Package delay time: 5690, in transmitter: 4
[Info] Package delay time: 95, in transmitter: 4
[Info] Package delay time: 105, in transmitter: 4
[Info] Package delay time: 6455, in transmitter: 6
[Info] Package delay time: 130, in transmitter: 6
[Info] Package delay time: 150, in transmitter: 6
[Info] Package delay time: 115, in transmitter: 6
[Info] Package delay time: 7050, in transmitter: 8
[Info] Package delay time: 2975, in transmitter: 3
[Info] Package delay time: 595, in transmitter: 8
[Info] Package delay time: 105, in transmitter: 8
[Info] Package delay time: 95, in transmitter: 8
[Info] Package delay time: 180, in transmitter: 8
[Info] Package delay time: 135, in transmitter: 8
[Info] Package delay time: 75, in transmitter: 8
[Info] Package delay time: 95, in transmitter: 8
[Info] Package delay time: 3875, in transmitter: 7
[Info] Package delay time: 115, in transmitter: 7
[Info] Package delay time: 1610, in transmitter: 3
[Info] Package delay time: 85, in transmitter: 3
[Info] Package delay time: 1335, in transmitter: 8
