[Info] Time of added package to the buffer: 0, in transmitter: 8
[Info] Time of added package to the buffer: 3, in transmitter: 8
[Info] Time of added package to the buffer: 8, in transmitter: 5
[Info] Time of added package to the buffer: 12, in transmitter: 3
[Info] Time of added package to the buffer: 14, in transmitter: 4
[Info] Time of added package to the buffer: 14, in transmitter: 1
[Info] Time of added package to the buffer: 21, in transmitter: 5
[Info] Time of added package to the buffer: 30, in transmitter: 6
[Info] Time of added package to the buffer: 39, in transmitter: 4
[Info] Time of added package to the buffer: 44, in transmitter: 9
[Info] Time of added package to the buffer: 49, in transmitter: 3
[Info] Time of added package to the buffer: 55, in transmitter: 5
[Info] Time of added package to the buffer: 57, in transmitter: 3
[Info] Time of added package to the buffer: 64, in transmitter: 2
[Info] Time of added package to the buffer: 70, in transmitter: 8
[Info] Time of added package to the buffer: 75, in transmitter: 4
[Info] Time of added package to the buffer: 82, in transmitter: 4
[Info] Time of added package to the buffer: 82, in transmitter: 9
[Info] Time of added package to the buffer: 83, in transmitter: 4
[Info] Time of added package to the buffer: 84, in transmitter: 4
[Info] Time of added package to the buffer: 89, in transmitter: 7
[Info] Time of added package to the buffer: 97, in transmitter: 8
[Info] Time of added package to the buffer: 104, in transmitter: 9
[Info] Time of added package to the buffer: 109, in transmitter: 5
[Info] Time of added package to the buffer: 116, in transmitter: 7
[Info] Time of added package to the buffer: 121, in transmitter: 7
[Info] Time of added package to the buffer: 123, in transmitter: 2
[Info] Time of added package to the buffer: 123, in transmitter: 0
[Info] Time of added package to the buffer: 129, in transmitter: 2
[Info] Time of added package to the buffer: 133, in transmitter: 9
[Info] Time of added package to the buffer: 137, in transmitter: 8
[Info] Time of added package to the buffer: 140, in transmitter: 8
[Info] Time of added package to the buffer: 141, in transmitter: 1
[Info] Time of added package to the buffer: 148, in transmitter: 0
[Info] Time of added package to the buffer: 155, in transmitter: 0
[Info] Time of added package to the buffer: 159, in transmitter: 9
[Info] Time of added package to the buffer: 162, in transmitter: 3
[Info] Time of added package to the buffer: 171, in transmitter: 2
[Info] Time of added package to the buffer: 176, in transmitter: 1
[Info] Time of added package to the buffer: 182, in transmitter: 0
[Info] Time of added package to the buffer: 182, in transmitter: 3
[Info] Time of added package to the buffer: 182, in transmitter: 4
[Info] Time of added package to the buffer: 184, in transmitter: 6
[Info] Time of added package to the buffer: 191, in transmitter: 4
[Info] Time of added package to the buffer: 191, in transmitter: 0
[Info] Time of added package to the buffer: 196, in transmitter: 0
[Info] Time of added package to the buffer: 202, in transmitter: 9
[Info] Time of added package to the buffer: 205, in transmitter: 8
[Info] Time of added package to the buffer: 213, in transmitter: 3
[Info] Time of added package to the buffer: 220, in transmitter: 1
[Info] Time of added package to the buffer: 220, in transmitter: 4
[Info] Time of added package to the buffer: 226, in transmitter: 4
[Info] Time of added package to the buffer: 233, in transmitter: 1
[Info] Time of added package to the buffer: 234, in transmitter: 3
[Info] Time of added package to the buffer: 240, in transmitter: 0
[Info] Time of added package to the buffer: 241, in transmitter: 1
[Info] Time of added package to the buffer: 245, in transmitter: 7
[Info] Time of added package to the buffer: 246, in transmitter: 0
[Info] Time of added package to the buffer: 250, in transmitter: 1
[Info] Time of added package to the buffer: 258, in transmitter: 7
[Info] Time of added package to the buffer: 264, in transmitter: 6
[Info] Time of added package to the buffer: 270, in transmitter: 2
[Info] Time of added package to the buffer: 277, in transmitter: 6
[Info] Time of added package to the buffer: 283, in transmitter: 7
[Info] Time of added package to the buffer: 287, in transmitter: 2
[Info] Time of added package to the buffer: 291, in transmitter: 7
[Info] Time of added package to the buffer: 294, in transmitter: 3
[Info] Time of added package to the buffer: 302, in transmitter: 5
[Info] Time of added package to the buffer: 308, in transmitter: 4
[Info] Time of added package to the buffer: 312, in transmitter: 5
[Info] Time of added package to the buffer: 315, in transmitter: 4
[Info] Time of added package to the buffer: 323, in transmitter: 1
[Info] Time of added package to the buffer: 323, in transmitter: 2
[Info] Time of added package to the buffer: 324, in transmitter: 1
[Info] Time of added package to the buffer: 325, in transmitter: 6
[Info] Time of added package to the buffer: 327, in transmitter: 8
[Info] Time of added package to the buffer: 329, in transmitter: 0
[Info] Time of added package to the buffer: 336, in transmitter: 3
[Info] Time of added package to the buffer: 340, in transmitter: 1
[Info] Time of added package to the buffer: 340, in transmitter: 5
[Info] Time of added package to the buffer: 346, in transmitter: 0
[Info] Time of added package to the buffer: 354, in transmitter: 1
[Info] Time of added package to the buffer: 361, in transmitter: 2
[Info] Time of added package to the buffer: 369, in transmitter: 0
[Info] Time of added package to the buffer: 373, in transmitter: 0
[Info] Time of added package to the buffer: 381, in transmitter: 8
[Info] Time of added package to the buffer: 383, in transmitter: 3
[Info] Time of added package to the buffer: 390, in transmitter: 8
[Info] Time of added package to the buffer: 399, in transmitter: 3
[Info] Time of added package to the buffer: 399, in transmitter: 7
[Info] Time of added package to the buffer: 408, in transmitter: 2
[Info] Time of added package to the buffer: 414, in transmitter: 9
[Info] Time of added package to the buffer: 418, in transmitter: 6
[Info] Time of added package to the buffer: 419, in transmitter: 2
[Info] Time of added package to the buffer: 424, in transmitter: 3
[Info] Time of added package to the buffer: 432, in transmitter: 1
[Info] Time of added package to the buffer: 441, in transmitter: 1
[Info] Time of added package to the buffer: 444, in transmitter: 9
[Info] Time of added package to the buffer: 448, in transmitter: 1
[Info] Time of added package to the buffer: 456, in transmitter: 6
[Info] Time of added package to the buffer: 460, in transmitter: 9
[Info] Time of added package to the buffer: 461, in transmitter: 5
[Info] Time of added package to the buffer: 461, in transmitter: 5
[Info] Time of added package to the buffer: 470, in transmitter: 3
[Info] Time of added package to the buffer: 473, in transmitter: 4
[Info] Time of added package to the buffer: 481, in transmitter: 4
[Info] Time of added package to the buffer: 488, in transmitter: 9
[Info] Time of added package to the buffer: 494, in transmitter: 9
[Info] Time of added package to the buffer: 494, in transmitter: 5
[Info] Time of added package to the buffer: 503, in transmitter: 3
[Info] Time of added package to the buffer: 504, in transmitter: 1
[Info] Time of added package to the buffer: 511, in transmitter: 5
[Info] Time of added package to the buffer: 515, in transmitter: 4
[Info] Time of added package to the buffer: 516, in transmitter: 4
[Info] Time of added package to the buffer: 520, in transmitter: 1
[Info] Time of added package to the buffer: 526, in transmitter: 4
[Info] Time of added package to the buffer: 531, in transmitter: 3
[Info] Time of added package to the buffer: 531, in transmitter: 8
[Info] Time of added package to the buffer: 539, in transmitter: 5
[Info] Time of added package to the buffer: 544, in transmitter: 5
[Info] Time of added package to the buffer: 546, in transmitter: 0
[Info] Time of added package to the buffer: 554, in transmitter: 0
[Info] Time of added package to the buffer: 562, in transmitter: 5
[Info] Time of added package to the buffer: 568, in transmitter: 2
[Info] Time of added package to the buffer: 572, in transmitter: 9
[Info] Time of added package to the buffer: 572, in transmitter: 9
[Info] Time of added package to the buffer: 580, in transmitter: 1
[Info] Time of added package to the buffer: 584, in transmitter: 9
[Info] Time of added package to the buffer: 586, in transmitter: 0
[Info] Time of added package to the buffer: 586, in transmitter: 0
[Info] Time of added package to the buffer: 594, in transmitter: 6
[Info] Time of added package to the buffer: 601, in transmitter: 5
[Info] Time of added package to the buffer: 601, in transmitter: 5
[Info] Time of added package to the buffer: 610, in transmitter: 6
[Info] Time of added package to the buffer: 615, in transmitter: 4
[Info] Time of added package to the buffer: 620, in transmitter: 9
[Info] Time of added package to the buffer: 623, in transmitter: 9
[Info] Time of added package to the buffer: 628, in transmitter: 4
[Info] Time of added package to the buffer: 637, in transmitter: 8
[Info] Time of added package to the buffer: 639, in transmitter: 8
[Info] Time of added package to the buffer: 641, in transmitter: 8
[Info] Time of added package to the buffer: 650, in transmitter: 1
[Info] Time of added package to the buffer: 658, in transmitter: 2
[Info] Time of added package to the buffer: 666, in transmitter: 7
[Info] Time of added package to the buffer: 671, in transmitter: 6
[Info] Time of added package to the buffer: 671, in transmitter: 6
[Info] Time of added package to the buffer: 672, in transmitter: 5
[Info] Time of added package to the buffer: 678, in transmitter: 3
[Info] Time of added package to the buffer: 680, in transmitter: 0
[Info] Time of added package to the buffer: 682, in transmitter: 3
[Info] Time of added package to the buffer: 690, in transmitter: 5
[Info] Time of added package to the buffer: 693, in transmitter: 8
[Info] Time of added package to the buffer: 699, in transmitter: 8
[Info] Time of added package to the buffer: 702, in transmitter: 0
[Info] Time of added package to the buffer: 704, in transmitter: 8
[Info] Time of added package to the buffer: 712, in transmitter: 2
[Info] Time of added package to the buffer: 713, in transmitter: 4
[Info] Time of added package to the buffer: 721, in transmitter: 6
[Info] Time of added package to the buffer: 722, in transmitter: 8
[Info] Time of added package to the buffer: 731, in transmitter: 0
[Info] Time of added package to the buffer: 732, in transmitter: 6
[Info] Time of added package to the buffer: 735, in transmitter: 7
[Info] Time of added package to the buffer: 744, in transmitter: 9
[Info] Time of added package to the buffer: 750, in transmitter: 2
[Info] Time of added package to the buffer: 758, in transmitter: 4
[Info] Time of added package to the buffer: 765, in transmitter: 5
[Info] Time of added package to the buffer: 768, in transmitter: 2
[Info] Time of added package to the buffer: 776, in transmitter: 4
[Info] Time of added package to the buffer: 781, in transmitter: 8
[Info] Time of added package to the buffer: 786, in transmitter: 2
[Info] Time of added package to the buffer: 789, in transmitter: 3
[Info] Time of added package to the buffer: 795, in transmitter: 8
[Info] Time of added package to the buffer: 796, in transmitter: 9
[Info] Time of added package to the buffer: 798, in transmitter: 3
[Info] Time of added package to the buffer: 803, in transmitter: 9
[Info] Time of added package to the buffer: 807, in transmitter: 0
[Info] Time of added package to the buffer: 811, in transmitter: 3
[Info] Time of added package to the buffer: 819, in transmitter: 4
[Info] Time of added package to the buffer: 826, in transmitter: 0
[Info] Time of added package to the buffer: 829, in transmitter: 4
[Info] Time of added package to the buffer: 832, in transmitter: 2
[Info] Time of added package to the buffer: 832, in transmitter: 3
[Info] Time of added package to the buffer: 840, in transmitter: 5
[Info] Time of added package to the buffer: 847, in transmitter: 7
[Info] Time of added package to the buffer: 848, in transmitter: 9
[Info] Time of added package to the buffer: 850, in transmitter: 3
[Info] Time of added package to the buffer: 850, in transmitter: 6
[Info] Time of added package to the buffer: 858, in transmitter: 0
[Info] Time of added package to the buffer: 864, in transmitter: 9
[Info] Time of added package to the buffer: 870, in transmitter: 4
[Info] Time of added package to the buffer: 879, in transmitter: 3
[Info] Time of added package to the buffer: 885, in transmitter: 1
[Info] Time of added package to the buffer: 886, in transmitter: 1
[Info] Time of added package to the buffer: 893, in transmitter: 0
[Info] Time of added package to the buffer: 893, in transmitter: 8
[Info] Time of added package to the buffer: 896, in transmitter: 3
[Info] Time of added package to the buffer: 901, in transmitter: 1
[Info] Time of added package to the buffer: 907, in transmitter: 8
[Info] Time of added package to the buffer: 913, in transmitter: 9
[Info] Time of added package to the buffer: 919, in transmitter: 8
[Info] Time of added package to the buffer: 925, in transmitter: 3
[Info] Time of added package to the buffer: 932, in transmitter: 2
[Info] Time of added package to the buffer: 941, in transmitter: 1
[Info] Time of added package to the buffer: 942, in transmitter: 9
[Info] Time of added package to the buffer: 945, in transmitter: 0
[Info] Time of added package to the buffer: 947, in transmitter: 4
[Info] Time of added package to the buffer: 948, in transmitter: 2
[Info] Time of added package to the buffer: 949, in transmitter: 2
[Info] Time of added package to the buffer: 950, in transmitter: 4
[Info] Time of added package to the buffer: 954, in transmitter: 2
[Info] Time of added package to the buffer: 958, in transmitter: 7
[Info] Time of added package to the buffer: 959, in transmitter: 3
[Info] Time of added package to the buffer: 965, in transmitter: 9
[Info] Time of added package to the buffer: 966, in transmitter: 8
[Info] Time of added package to the buffer: 974, in transmitter: 6
[Info] Time of added package to the buffer: 978, in transmitter: 0
[Info] Time of added package to the buffer: 983, in transmitter: 1
[Info] Time of added package to the buffer: 985, in transmitter: 3
[Info] Time of added package to the buffer: 987, in transmitter: 0
[Info] Time of added package to the buffer: 990, in transmitter: 8
[Info] Time of added package to the buffer: 991, in transmitter: 0
[Info] Time of added package to the buffer: 995, in transmitter: 1
