[Info] Time when package is remove from buffer: 635, in transmitter: 9
[Info] Time when package is remove from buffer: 760, in transmitter: 6
[Info] Time when package is remove from buffer: 760, in transmitter: 5
[Info] Time when package is remove from buffer: 760, in transmitter: 8
[Info] Time when package is remove from buffer: 865, in transmitter: 4
[Info] Time when package is remove from buffer: 865, in transmitter: 3
[Info] Time when package is remove from buffer: 865, in transmitter: 2
[Info] Time when package is remove from buffer: 865, in transmitter: 7
[Info] Time when package is remove from buffer: 990, in transmitter: 5
[Info] Time when package is remove from buffer: 990, in transmitter: 1
[Info] Time when package is remove from buffer: 990, in transmitter: 7
[Info] Time when package is remove from buffer: 990, in transmitter: 2
[Info] Time when package is remove from buffer: 1085, in transmitter: 6
[Info] Time when package is remove from buffer: 1085, in transmitter: 4
[Info] Time when package is remove from buffer: 1085, in transmitter: 5
[Info] Time when package is remove from buffer: 1085, in transmitter: 7
[Info] Time when package is remove from buffer: 1375, in transmitter: 1
[Info] Time when package is remove from buffer: 1475, in transmitter: 8
[Info] Time when package is remove from buffer: 1580, in transmitter: 6
[Info] Time when package is remove from buffer: 1580, in transmitter: 0
