[Info] Time when package is successfully sent: 95, by transmitter: 5
[Info] Time when package is successfully sent: 1215, by transmitter: 3
[Info] Time when package is successfully sent: 1330, by transmitter: 3
[Info] Time when package is successfully sent: 1830, by transmitter: 7
[Info] Time when package is successfully sent: 4515, by transmitter: 3
[Info] Time when package is successfully sent: 4775, by transmitter: 7
[Info] Time when package is successfully sent: 5015, by transmitter: 7
[Info] Time when package is successfully sent: 5970, by transmitter: 4
[Info] Time when package is successfully sent: 6075, by transmitter: 4
[Info] Time when package is successfully sent: 6190, by transmitter: 4
[Info] Time when package is successfully sent: 6575, by transmitter: 6
[Info] Time when package is successfully sent: 6715, by transmitter: 6
[Info] Time when package is successfully sent: 6875, by transmitter: 6
[Info] Time when package is successfully sent: 7000, by transmitter: 6
[Info] Time when package is successfully sent: 7230, by transmitter: 8
[Info] Time when package is successfully sent: 7500, by transmitter: 3
[Info] Time when package is successfully sent: 7835, by transmitter: 8
[Info] Time when package is successfully sent: 7950, by transmitter: 8
[Info] Time when package is successfully sent: 8055, by transmitter: 8
[Info] Time when package is successfully sent: 8245, by transmitter: 8
[Info] Time when package is successfully sent: 8390, by transmitter: 8
[Info] Time when package is successfully sent: 8475, by transmitter: 8
[Info] Time when package is successfully sent: 8580, by transmitter: 8
[Info] Time when package is successfully sent: 8900, by transmitter: 7
[Info] Time when package is successfully sent: 9025, by transmitter: 7
[Info] Time when package is successfully sent: 9120, by transmitter: 3
[Info] Time when package is successfully sent: 9215, by transmitter: 3
[Info] Time when package is successfully sent: 9925, by transmitter: 8
